doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
67,트랜지스터,트랜지스터,5,반도체 장치 | 반도체 디바이스,BT0004,False
67,반도체 장치,반도체 장치,5,반도체 장치 | 반도체 디바이스,BT0004,False
67,산화물,산화물,10,알루미늄 합금,BT0003,False
67,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
68,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
69,케이블,케이블,8,케이블 | 단섬유 | 커넥터,BT0011,False
70,바이러스,바이러스,12,바이러스,BT0022,False
70,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
71,사용자 단말,사용자 단말,1,조성물 | 프로세서 | 촉매,BT0001,False
71,업데이트,업데이트,1,조성물 | 프로세서 | 촉매,BT0001,False
75,메모리,메모리,3,메모리 | 인코딩,BT0012,False
76,모니터링 시스템,모니터링 시스템,18,모니터링 시스템,BT0014,False
76,카메라,카메라,7,이미지 센서,BT0005,False
76,파라미터,파라미터,1,조성물 | 프로세서 | 촉매,BT0001,False
76,모니터링,모니터링,18,모니터링 시스템,BT0014,False
76,이벤트,이벤트,1,조성물 | 프로세서 | 촉매,BT0001,False
78,이미지,이미지,7,이미지 센서,BT0005,False
78,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
78,메모리,메모리,3,메모리 | 인코딩,BT0012,False
79,게이트,게이트,1,조성물 | 프로세서 | 촉매,BT0001,False
79,트랜지스터,트랜지스터,5,반도체 장치 | 반도체 디바이스,BT0004,False
79,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
81,이미지,이미지,7,이미지 센서,BT0005,False
82,디스플레이,디스플레이,1,조성물 | 프로세서 | 촉매,BT0001,False
82,텍스트,텍스트,1,조성물 | 프로세서 | 촉매,BT0001,False
83,아크릴,아크릴,1,조성물 | 프로세서 | 촉매,BT0001,False
83,중합체,중합체,1,조성물 | 프로세서 | 촉매,BT0001,False
83,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
83,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
83,포토레지스트 조성물,포토레지스트 조성물,22,포토레지스트 조성물,BT0016,False
