phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,phrase_quality_score,is_meaningful_phrase,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
마이오,마이오,마이오,2,7,4.1541,4.1541,마이오,1.4,True,71,1,False,조성물 | 프로세서 | 촉매,BT0001
청정기,청정기,청정기,2,7,4.1541,4.1541,청정기,1.4,True,72,1,False,조성물 | 프로세서 | 촉매,BT0001
인코딩,인코딩,인코딩,7,13,4.1427,4.1427,인코딩,1.4,True,73,3,False,메모리 | 인코딩,BT0012
파라미터,파라미터,파라미터,9,18,4.1339,4.1339,파라미터,1.4,True,74,1,False,조성물 | 프로세서 | 촉매,BT0001
혼합물,혼합물,혼합물,6,16,4.0887,4.0887,혼합물,1.4,True,75,1,False,조성물 | 프로세서 | 촉매,BT0001
주파수,주파수,주파수,6,13,4.0407,4.0407,주파수,1.4,True,76,1,False,조성물 | 프로세서 | 촉매,BT0001
AAV,AAV,AAV,2,4,4.0273,4.0273,AAV,1.4,True,77,24,False,레이트 | 파일럿 | AAV,BT0010
백라이트,백라이트,백라이트,2,5,4.0207,4.0207,백라이트,1.4,True,78,1,False,조성물 | 프로세서 | 촉매,BT0001
아크릴,아크릴,아크릴,7,13,4.0061,4.0061,아크릴,1.4,True,79,1,False,조성물 | 프로세서 | 촉매,BT0001
지지대,지지대,지지대,4,17,3.9719,3.9719,지지대,1.4,True,80,1,False,조성물 | 프로세서 | 촉매,BT0001
카트리지,카트리지,카트리지,3,9,3.959,3.959,카트리지,1.4,True,81,1,False,조성물 | 프로세서 | 촉매,BT0001
윤활유,윤활유,윤활유,2,4,3.9541,3.9541,윤활유,1.4,True,82,1,False,조성물 | 프로세서 | 촉매,BT0001
컴퓨팅,컴퓨팅,컴퓨팅,6,16,3.9287,3.9287,컴퓨팅,1.4,True,83,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
파일럿,파일럿,파일럿,2,15,3.8954,3.8954,파일럿,1.4,True,84,24,False,레이트 | 파일럿 | AAV,BT0010
그리퍼,그리퍼,그리퍼,2,3,3.8874,3.8874,그리퍼,1.4,True,85,1,False,조성물 | 프로세서 | 촉매,BT0001
라이트,라이트,라이트,4,8,3.8039,3.8039,라이트,1.4,True,86,1,False,조성물 | 프로세서 | 촉매,BT0001
HARQ,HARQ,HARQ,2,6,3.7954,3.7954,HARQ,1.4,True,87,13,False,HARQ,BT0025
ACK,ACK,ACK,2,6,3.7954,3.7954,ACK,1.4,True,88,25,False,ACK,BT0026
바이러스,바이러스,바이러스,3,6,3.759,3.759,바이러스,1.4,True,89,12,False,바이러스,BT0022
카운터,카운터,카운터,3,14,3.7403,3.7403,카운터,1.4,True,90,1,False,조성물 | 프로세서 | 촉매,BT0001
캐비닛,캐비닛,캐비닛,3,14,3.7403,3.7403,캐비닛,1.4,True,91,1,False,조성물 | 프로세서 | 촉매,BT0001
