phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
비디오,16,4,1,3,False,0.0,0.0,2.5667,1,3,0.25,0.75,0.36,0.85,0.0,3.6787,False,,0.0,3.6787
커넥터,16,4,1,3,False,0.0,0.0,2.5667,1,3,0.25,0.75,0.36,0.85,0.0,3.6787,False,,0.0,3.6787
세라믹,13,3,1,3,False,0.0,0.0,2.2417,1,3,0.3333,1.0,0.46,1.1,0.0,3.6737,False,,0.0,3.6737
에어로,9,3,1,3,False,0.0,0.0,1.975,2,2,0.6667,0.6667,0.92,0.7334,0.0,3.6657,False,,0.0,3.6657
PDCCH,4,2,1,5,True,0.0,0.0,2.0167,1,2,0.5,1.0,0.66,1.0667,0.0,3.6621,False,,0.0,3.6621
CSI,4,2,1,3,True,0.0,0.0,2.0167,1,2,0.5,1.0,0.66,1.0667,0.0,3.6621,False,,0.0,3.6621
방향족,11,5,1,3,False,0.0,0.0,2.3583,1,5,0.2,1.0,0.3,1.1667,0.0,3.6517,False,,0.0,3.6517
데이터 유닛,8,3,2,5,False,0.0,0.0,2.2083,1,3,0.3333,1.0,0.46,1.1,0.0,3.6403,False,,0.0,3.6403
중합체,12,4,1,3,False,0.0,0.0,2.3,1,4,0.25,1.0,0.36,1.1333,0.0,3.6386,False,,0.0,3.6386
자외선,11,5,1,3,False,0.0,0.0,2.3583,2,3,0.4,0.6,0.6,0.7,0.0,3.6383,False,,0.0,3.6383
스테이션,11,2,1,4,False,0.0,0.0,1.9833,1,2,0.5,1.0,0.66,1.0667,0.0,3.6287,False,,0.0,3.6287
폴리머,13,5,1,3,False,0.0,0.0,2.4917,1,4,0.2,0.8,0.3,0.9333,0.0,3.5983,False,,0.0,3.5983
포토레지스트 조성물,4,3,2,9,True,0.0,0.0,2.7417,1,1,0.3333,0.3333,0.46,0.3666,0.0,3.587,False,,0.0,3.587
이미지 센서,7,3,2,5,False,0.0,0.0,2.1417,1,3,0.3333,1.0,0.46,1.1,0.0,3.5737,False,,0.0,3.5737
매트릭스,15,5,1,4,False,0.0,0.0,2.625,0,5,0.0,1.0,0.0,1.1667,0.0,3.5584,False,,0.0,3.5584
화학식,14,8,1,3,False,0.0,0.0,2.9333,0,8,0.0,1.0,0.0,1.2667,0.4,3.5467,False,,0.0,3.5467
드라이버,11,3,1,4,False,0.0,0.0,2.1083,1,3,0.3333,1.0,0.46,1.1,0.0,3.5403,False,,0.0,3.5403
정전기 방전,5,2,2,5,False,0.0,0.0,1.8833,1,2,0.5,1.0,0.66,1.0667,0.0,3.5287,False,,0.0,3.5287
레독스,4,2,1,3,False,0.0,0.0,1.5167,2,1,1.0,0.5,1.32,0.5333,0.0,3.5273,False,,0.0,3.5273
오디오,15,3,1,3,False,0.0,0.0,2.375,1,2,0.3333,0.6667,0.46,0.7334,0.0,3.5137,False,,0.0,3.5137
이벤트,25,6,1,3,False,0.0,0.0,2.95,0,6,0.0,1.0,0.0,1.2,0.4,3.51,False,,0.0,3.51
컴퓨터 구현,6,3,2,5,False,0.0,0.0,2.075,1,3,0.3333,1.0,0.46,1.1,0.0,3.507,False,,0.0,3.507
