doc_id,phrase_original_in_doc,phrase_norm,concept_id,concept_label
42,플레이트,플레이트,C0041,플레이트
42,프로세스,프로세스,C0017,프로세스
42,컨테이너,컨테이너,C0056,컨테이너
42,레티클 컨테이너,레티클 컨테이너,C0109,레티클
42,베이스,베이스,C0018,베이스
42,레티클,레티클,C0109,레티클
43,플라즈마,플라즈마,C0029,플라즈마
43,디바이스,디바이스,C0003,디바이스
44,케이블,케이블,C0069,케이블
45,방사선,방사선,C0032,방사선
45,디바이스,디바이스,C0003,디바이스
45,조성물,조성물,C0001,조성물
46,디지털 트윈,디지털 트윈,C0102,디지털 트윈
46,디지털,디지털,C0048,디지털
47,베이스,베이스,C0018,베이스
52,화학식,화학식,C0037,화학식
53,접착제,접착제,C0049,접착제
53,자동차,자동차,C0057,자동차
53,디스플레이,디스플레이,C0014,디스플레이
53,아크릴,아크릴,C0047,아크릴
53,조성물,조성물,C0001,조성물
53,실리콘,실리콘,C0026,실리콘
54,탄소,탄소,C0013,탄소
54,리튬,리튬,C0020,리튬
54,배터리,배터리,C0015,배터리
55,디바이스,디바이스,C0003,디바이스
56,라이트,라이트,C0079,라이트
59,음극,음극,C0084,음극
59,조성물,조성물,C0001,조성물
59,폴리머,폴리머,C0074,폴리머
60,프로세서,프로세서,C0006,프로세서
60,메모리,메모리,C0007,메모리
60,포인트,포인트,C0044,포인트
60,플라스틱,플라스틱,C0054,플라스틱
61,텍스트,텍스트,C0040,텍스트
61,반도체,반도체,C0004,반도체
63,캐비닛,캐비닛,C0090,캐비닛
63,가전제품,가전제품,C0101,가전제품
64,탄소,탄소,C0013,탄소
64,에너지,에너지,C0011,에너지
66,프레임,프레임,C0002,프레임
66,테스트,테스트,C0038,테스트
67,알루미늄,알루미늄,C0025,알루미늄
67,트랜지스터,트랜지스터,C0063,트랜지스터
67,반도체 장치,반도체 장치,C0028,반도체 장치
67,산화물,산화물,C0036,산화물
67,반도체,반도체,C0004,반도체
68,조성물,조성물,C0001,조성물
69,케이블,케이블,C0069,케이블
69,구조물,구조물,C0009,구조물
70,바이러스,바이러스,C0088,바이러스
70,조성물,조성물,C0001,조성물
71,사용자 단말,사용자 단말,C0033,사용자 단말
71,업데이트,업데이트,C0077,업데이트
71,프로그램,프로그램,C0008,프로그램
71,서비스,서비스,C0016,서비스
71,콘텐츠,콘텐츠,C0019,콘텐츠
75,메모리,메모리,C0007,메모리
76,모니터링 시스템,모니터링 시스템,C0066,모니터링
76,카메라,카메라,C0012,카메라
76,파라미터,파라미터,C0027,파라미터
76,모니터링,모니터링,C0066,모니터링
76,이벤트,이벤트,C0064,이벤트
78,이미지,이미지,C0005,이미지
78,프로세서,프로세서,C0006,프로세서
78,메모리,메모리,C0007,메모리
79,게이트,게이트,C0043,게이트
79,트랜지스터,트랜지스터,C0063,트랜지스터
79,반도체,반도체,C0004,반도체
80,디바이스,디바이스,C0003,디바이스
80,구조물,구조물,C0009,구조물
81,가이드,가이드,C0022,가이드
81,이미지,이미지,C0005,이미지
82,디스플레이,디스플레이,C0014,디스플레이
82,텍스트,텍스트,C0040,텍스트
83,아크릴,아크릴,C0047,아크릴
83,중합체,중합체,C0082,중합체
83,반도체,반도체,C0004,반도체
83,조성물,조성물,C0001,조성물
83,포토레지스트 조성물,포토레지스트 조성물,C0071,포토레지스트
83,포토레지스트,포토레지스트,C0071,포토레지스트
84,스마트,스마트,C0065,스마트
