doc_id,phrase_original_in_doc,phrase_canonical,is_outlier_topic,topic_id,topic_label,concept_id
284,에너지,에너지,False,0,에너지,BT0001
285,청정기,청정기,False,29,프로세서,BT0030
286,방사선,방사선,False,9,레이저,BT0010
287,조성물,조성물,False,1,윤활유 조성,BT0002
287,포토레지스트,포토레지스트,False,29,프로세서,BT0030
287,자외선,자외선,False,9,레이저,BT0010
287,반도체,반도체,False,5,반도체,BT0006
287,포토레지스트 조성물,포토레지스트 조성물,False,22,포토레지스트 조성물,BT0023
289,와이어,와이어,False,29,프로세서,BT0030
290,레이트,레이트,False,24,레이트,BT0025
292,방사선,방사선,False,9,레이저,BT0010
293,조성물,조성물,False,1,윤활유 조성,BT0002
294,카운터,카운터,False,29,프로세서,BT0030
296,메모리,메모리,False,3,메모리,BT0004
298,레이저,레이저,False,9,레이저,BT0010
303,스테이션,스테이션,False,29,프로세서,BT0030
306,프로세서,프로세서,False,29,프로세서,BT0030
306,메모리,메모리,False,3,메모리,BT0004
306,프로세스,프로세스,False,29,프로세서,BT0030
306,이미지,이미지,False,7,이미지,BT0008
307,주파수,주파수,False,29,프로세서,BT0030
308,열처리,열처리,False,0,에너지,BT0001
309,방사선,방사선,False,9,레이저,BT0010
310,플레이트,플레이트,False,29,프로세서,BT0030
310,레독스,레독스,False,29,프로세서,BT0030
310,배터리,배터리,False,16,배터리,BT0017
311,에너지,에너지,False,0,에너지,BT0001
311,중합체,중합체,False,29,프로세서,BT0030
311,혼합물,혼합물,False,1,윤활유 조성,BT0002
312,프로세서,프로세서,False,29,프로세서,BT0030
312,메모리,메모리,False,3,메모리,BT0004
312,카메라,카메라,False,7,이미지,BT0008
312,이미지,이미지,False,7,이미지,BT0008
314,인서트,인서트,False,29,프로세서,BT0030
315,매트릭스,매트릭스,False,29,프로세서,BT0030
316,화학식,화학식,False,10,알루미늄,BT0011
317,사용자 단말,사용자 단말,False,29,프로세서,BT0030
317,데이터 유닛,데이터 유닛,False,15,데이터 유닛,BT0016
318,조성물,조성물,False,1,윤활유 조성,BT0002
319,백라이트,백라이트,False,29,프로세서,BT0030
319,자외선,자외선,False,9,레이저,BT0010
320,나트륨 이온,나트륨 이온,False,10,알루미늄,BT0011
321,HARQ,HARQ,False,13,HARQ,BT0014
321,ACK,ACK,False,25,ACK,BT0026
321,레이트,레이트,False,24,레이트,BT0025
321,인코딩,인코딩,False,3,메모리,BT0004
321,CSI,CSI,False,6,CSI,BT0007
323,이미지,이미지,False,7,이미지,BT0008
323,실시간,실시간,False,28,실시간,BT0029
324,방향족,방향족,False,29,프로세서,BT0030
324,탄소,탄소,False,23,탄소,BT0024
324,조성물,조성물,False,1,윤활유 조성,BT0002
328,억제제,억제제,False,29,프로세서,BT0030
328,단백질,단백질,False,14,단백질,BT0015
328,조성물,조성물,False,1,윤활유 조성,BT0002
329,컴퓨터 프로그램,컴퓨터 프로그램,False,4,컴퓨터,BT0005
329,프로그램 제품,프로그램 제품,False,4,컴퓨터,BT0005
329,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
329,에너지,에너지,False,0,에너지,BT0001
329,레이저,레이저,False,9,레이저,BT0010
329,파라미터,파라미터,False,29,프로세서,BT0030
331,방향족,방향족,False,29,프로세서,BT0030
331,전해질,전해질,False,29,프로세서,BT0030
