phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
재료 코팅,5,1,2,4,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
코팅 제동,5,1,2,4,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
링크,35,7,1,2,False,0.0,0.0,3.075,3,7,0.4286,1.0,0.6943,1.2333,0.0,4.8948,True,short_unigram,0.0,4.8948
인쇄,31,7,1,2,False,0.0,0.0,3.075,3,7,0.4286,1.0,0.6943,1.2333,0.0,4.8948,True,short_unigram,0.0,4.8948
성형,18,7,1,2,False,0.0,0.0,3.075,3,7,0.4286,1.0,0.6943,1.2333,0.0,4.8948,True,short_unigram,0.0,4.8948
억제제,14,6,1,3,False,0.0,0.0,2.6833,4,6,0.6667,1.0,1.04,1.2,0.0,4.8913,False,,0.0,4.8913
상품,31,7,1,2,False,0.0,0.0,3.075,4,5,0.5714,0.7143,0.9257,0.881,0.0,4.8906,True,short_unigram,0.0,4.8906
피부,27,7,1,2,False,0.0,0.0,3.075,4,5,0.5714,0.7143,0.9257,0.881,0.0,4.8906,True,short_unigram,0.0,4.8906
메탄올,20,2,1,3,False,0.0,0.0,2.45,2,2,1.0,1.0,1.32,1.0667,0.0,4.8874,False,,0.0,4.8874
계층,19,2,1,2,False,0.0,0.0,2.45,2,2,1.0,1.0,1.32,1.0667,0.0,4.8874,True,short_unigram,0.0,4.8874
평가,41,14,1,2,False,0.0,0.4,3.0,5,12,0.3571,0.8571,0.7285,1.2571,0.0,4.8799,True,short_unigram,0.0,4.8799
성분,55,16,1,2,False,0.0,0.0,3.4,2,15,0.125,0.9375,0.27,1.4375,0.0,4.874,True,short_unigram,0.0,4.874
공간,82,34,1,2,False,0.0,0.0,3.4,3,31,0.0882,0.9118,0.2858,1.4118,0.0,4.8724,True,short_unigram,0.0,4.8724
합금,12,4,1,2,True,0.0,0.0,3.1,2,4,0.5,1.0,0.72,1.1333,0.0,4.8706,True,short_unigram,1.4,3.4705999999999997
공정,48,25,1,2,False,0.0,0.0,3.4,5,14,0.2,0.56,0.54,1.0267,0.0,4.8694,True,short_unigram,0.0,4.8694
네트워크,48,15,1,4,False,0.0,0.0,3.4,2,14,0.1333,0.9333,0.28,1.4,0.0,4.856,False,,1.6,3.256
