doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
350,혼합물,혼합물,0,디지털 | 전해질 | 리튬,BT0001,False
351,파라미터,파라미터,0,디지털 | 전해질 | 리튬,BT0001,False
352,나트륨 이온,나트륨 이온,0,디지털 | 전해질 | 리튬,BT0001,False
352,리튬,리튬,0,디지털 | 전해질 | 리튬,BT0001,False
352,배터리,배터리,1,배터리 | 열처리 | 에너지,BT0003,False
353,HARQ,HARQ,0,디지털 | 전해질 | 리튬,BT0001,False
353,ACK,ACK,0,디지털 | 전해질 | 리튬,BT0001,False
354,업데이트,업데이트,0,디지털 | 전해질 | 리튬,BT0001,False
355,PDCCH,PDCCH,7,PDCCH,BT0011,False
355,주파수,주파수,0,디지털 | 전해질 | 리튬,BT0001,False
355,CSI,CSI,2,바이러스 | CSI,BT0008,False
356,방향족,방향족,0,디지털 | 전해질 | 리튬,BT0001,False
357,단말기,단말기,0,디지털 | 전해질 | 리튬,BT0001,False
357,트레이,트레이,0,디지털 | 전해질 | 리튬,BT0001,False
357,이미지 센서,이미지 센서,10,이미지 | 센서 | 카메라,BT0004,False
357,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
358,배터리,배터리,1,배터리 | 열처리 | 에너지,BT0003,False
359,게이트,게이트,0,디지털 | 전해질 | 리튬,BT0001,False
359,트랜지스터,트랜지스터,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
360,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
364,사용자 단말,사용자 단말,0,디지털 | 전해질 | 리튬,BT0001,False
364,애플리케이션,애플리케이션,0,디지털 | 전해질 | 리튬,BT0001,False
366,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
368,화학식,화학식,0,디지털 | 전해질 | 리튬,BT0001,False
369,레이저,레이저,6,포토레지스트 | 레이저 | 방사선,BT0005,False
372,단말기,단말기,0,디지털 | 전해질 | 리튬,BT0001,False
372,콘텐츠,콘텐츠,0,디지털 | 전해질 | 리튬,BT0001,False
372,테스트,테스트,0,디지털 | 전해질 | 리튬,BT0001,False
373,탄소,탄소,5,탄소,BT0009,False
375,파라미터,파라미터,0,디지털 | 전해질 | 리튬,BT0001,False
375,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
375,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
375,컴퓨터 구현,컴퓨터 구현,0,디지털 | 전해질 | 리튬,BT0001,False
377,에너지 발생,에너지 발생,1,배터리 | 열처리 | 에너지,BT0003,False
377,RF 에너지,RF 에너지,1,배터리 | 열처리 | 에너지,BT0003,False
377,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
378,서비스,서비스,0,디지털 | 전해질 | 리튬,BT0001,False
379,케이스,케이스,0,디지털 | 전해질 | 리튬,BT0001,False
380,반도체,반도체,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
381,초음파,초음파,0,디지털 | 전해질 | 리튬,BT0001,False
382,게이트,게이트,0,디지털 | 전해질 | 리튬,BT0001,False
382,플라스틱,플라스틱,0,디지털 | 전해질 | 리튬,BT0001,False
384,매트릭스,매트릭스,0,디지털 | 전해질 | 리튬,BT0001,False
385,스마트,스마트,0,디지털 | 전해질 | 리튬,BT0001,False
385,서비스,서비스,0,디지털 | 전해질 | 리튬,BT0001,False
386,컴퓨터 프로그램,컴퓨터 프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
386,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
386,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
386,구조물,구조물,0,디지털 | 전해질 | 리튬,BT0001,False
387,촉매,촉매,0,디지털 | 전해질 | 리튬,BT0001,False
387,청정기,청정기,0,디지털 | 전해질 | 리튬,BT0001,False
387,사용자 단말,사용자 단말,0,디지털 | 전해질 | 리튬,BT0001,False
388,단백질,단백질,3,유전자 | 단백질,BT0007,False
391,촉매,촉매,0,디지털 | 전해질 | 리튬,BT0001,False
391,열처리,열처리,1,배터리 | 열처리 | 에너지,BT0003,False
391,레이트,레이트,0,디지털 | 전해질 | 리튬,BT0001,False
392,그리퍼,그리퍼,0,디지털 | 전해질 | 리튬,BT0001,False
395,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
399,컨테이너,컨테이너,0,디지털 | 전해질 | 리튬,BT0001,False
399,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
399,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
400,서비스,서비스,0,디지털 | 전해질 | 리튬,BT0001,False
401,음극,음극,0,디지털 | 전해질 | 리튬,BT0001,False
401,리튬,리튬,0,디지털 | 전해질 | 리튬,BT0001,False
402,스트림,스트림,0,디지털 | 전해질 | 리튬,BT0001,False
402,비디오,비디오,10,이미지 | 센서 | 카메라,BT0004,False
402,인코딩,인코딩,0,디지털 | 전해질 | 리튬,BT0001,False
402,파라미터,파라미터,0,디지털 | 전해질 | 리튬,BT0001,False
403,파이프,파이프,4,파이프 | 단섬유 | 케이블,BT0006,False
404,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
405,구조체,구조체,0,디지털 | 전해질 | 리튬,BT0001,False
406,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
408,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
408,데이터 유닛,데이터 유닛,8,데이터,BT0010,False
411,화학식,화학식,0,디지털 | 전해질 | 리튬,BT0001,False
411,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
